                 UTC_Time	                Date_Time	       H	      D	      Z	      F
2016-02-27 06:19:00 +0000	2016-02-27 11:49:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:20:00 +0000	2016-02-27 11:50:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:21:00 +0000	2016-02-27 11:51:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:22:00 +0000	2016-02-27 11:52:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:23:00 +0000	2016-02-27 11:53:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:24:00 +0000	2016-02-27 11:54:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:25:00 +0000	2016-02-27 11:55:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:26:00 +0000	2016-02-27 11:56:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:27:00 +0000	2016-02-27 11:57:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:28:00 +0000	2016-02-27 11:58:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:29:00 +0000	2016-02-27 11:59:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:31:00 +0000	2016-02-27 12:01:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:32:00 +0000	2016-02-27 12:02:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:33:00 +0000	2016-02-27 12:03:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:34:00 +0000	2016-02-27 12:04:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:36:00 +0000	2016-02-27 12:06:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:37:00 +0000	2016-02-27 12:07:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:38:00 +0000	2016-02-27 12:08:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:39:00 +0000	2016-02-27 12:09:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:40:00 +0000	2016-02-27 12:10:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 06:41:00 +0000	2016-02-27 12:11:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:32:00 +0000	2016-02-27 13:02:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:33:00 +0000	2016-02-27 13:03:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:34:00 +0000	2016-02-27 13:04:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:35:00 +0000	2016-02-27 13:05:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:36:00 +0000	2016-02-27 13:06:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:37:00 +0000	2016-02-27 13:07:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:38:00 +0000	2016-02-27 13:08:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:39:00 +0000	2016-02-27 13:09:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:40:00 +0000	2016-02-27 13:10:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-02-27 07:41:00 +0000	2016-02-27 13:11:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:24:00 +0000	2016-03-31 10:54:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:24:00 +0000	2016-03-31 10:54:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:25:00 +0000	2016-03-31 10:55:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:25:00 +0000	2016-03-31 10:55:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:26:00 +0000	2016-03-31 10:56:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:26:00 +0000	2016-03-31 10:56:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:27:00 +0000	2016-03-31 10:57:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:27:00 +0000	2016-03-31 10:57:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:28:00 +0000	2016-03-31 10:58:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:28:00 +0000	2016-03-31 10:58:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:29:00 +0000	2016-03-31 10:59:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:29:00 +0000	2016-03-31 10:59:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:30:00 +0000	2016-03-31 11:00:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:30:00 +0000	2016-03-31 11:00:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:31:00 +0000	2016-03-31 11:01:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:31:00 +0000	2016-03-31 11:01:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:32:00 +0000	2016-03-31 11:02:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:32:00 +0000	2016-03-31 11:02:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:33:00 +0000	2016-03-31 11:03:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:33:00 +0000	2016-03-31 11:03:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:34:00 +0000	2016-03-31 11:04:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:34:00 +0000	2016-03-31 11:04:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:35:00 +0000	2016-03-31 11:05:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:35:00 +0000	2016-03-31 11:05:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:36:00 +0000	2016-03-31 11:06:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:36:00 +0000	2016-03-31 11:06:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:37:00 +0000	2016-03-31 11:07:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:37:00 +0000	2016-03-31 11:07:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:38:00 +0000	2016-03-31 11:08:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:38:00 +0000	2016-03-31 11:08:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:39:00 +0000	2016-03-31 11:09:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:39:00 +0000	2016-03-31 11:09:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:40:00 +0000	2016-03-31 11:10:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:40:00 +0000	2016-03-31 11:10:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:41:00 +0000	2016-03-31 11:11:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:41:00 +0000	2016-03-31 11:11:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:42:00 +0000	2016-03-31 11:12:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:42:00 +0000	2016-03-31 11:12:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:43:00 +0000	2016-03-31 11:13:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:43:00 +0000	2016-03-31 11:13:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:44:00 +0000	2016-03-31 11:14:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:44:00 +0000	2016-03-31 11:14:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:45:00 +0000	2016-03-31 11:15:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:45:00 +0000	2016-03-31 11:15:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:46:00 +0000	2016-03-31 11:16:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:46:00 +0000	2016-03-31 11:16:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:47:00 +0000	2016-03-31 11:17:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:47:00 +0000	2016-03-31 11:17:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:48:00 +0000	2016-03-31 11:18:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:48:00 +0000	2016-03-31 11:18:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:49:00 +0000	2016-03-31 11:19:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:49:00 +0000	2016-03-31 11:19:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:50:00 +0000	2016-03-31 11:20:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:50:00 +0000	2016-03-31 11:20:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:51:00 +0000	2016-03-31 11:21:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:51:00 +0000	2016-03-31 11:21:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:52:00 +0000	2016-03-31 11:22:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:52:00 +0000	2016-03-31 11:22:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:53:00 +0000	2016-03-31 11:23:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:53:00 +0000	2016-03-31 11:23:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:54:00 +0000	2016-03-31 11:24:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:54:00 +0000	2016-03-31 11:24:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:55:00 +0000	2016-03-31 11:25:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:55:00 +0000	2016-03-31 11:25:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:56:00 +0000	2016-03-31 11:26:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:56:00 +0000	2016-03-31 11:26:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:57:00 +0000	2016-03-31 11:27:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:57:00 +0000	2016-03-31 11:27:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:58:00 +0000	2016-03-31 11:28:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:58:00 +0000	2016-03-31 11:28:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:59:00 +0000	2016-03-31 11:29:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 05:59:00 +0000	2016-03-31 11:29:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:00:00 +0000	2016-03-31 11:30:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:00:00 +0000	2016-03-31 11:30:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:01:00 +0000	2016-03-31 11:31:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:01:00 +0000	2016-03-31 11:31:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:02:00 +0000	2016-03-31 11:32:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:02:00 +0000	2016-03-31 11:32:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:03:00 +0000	2016-03-31 11:33:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:03:00 +0000	2016-03-31 11:33:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:04:00 +0000	2016-03-31 11:34:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:04:00 +0000	2016-03-31 11:34:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:05:00 +0000	2016-03-31 11:35:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:05:00 +0000	2016-03-31 11:35:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:06:00 +0000	2016-03-31 11:36:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:06:00 +0000	2016-03-31 11:36:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:07:00 +0000	2016-03-31 11:37:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:07:00 +0000	2016-03-31 11:37:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:08:00 +0000	2016-03-31 11:38:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:08:00 +0000	2016-03-31 11:38:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:09:00 +0000	2016-03-31 11:39:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:09:00 +0000	2016-03-31 11:39:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:10:00 +0000	2016-03-31 11:40:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:10:00 +0000	2016-03-31 11:40:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:11:00 +0000	2016-03-31 11:41:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:11:00 +0000	2016-03-31 11:41:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:12:00 +0000	2016-03-31 11:42:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:12:00 +0000	2016-03-31 11:42:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:13:00 +0000	2016-03-31 11:43:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:13:00 +0000	2016-03-31 11:43:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:14:00 +0000	2016-03-31 11:44:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:14:00 +0000	2016-03-31 11:44:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:15:00 +0000	2016-03-31 11:45:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:15:00 +0000	2016-03-31 11:45:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:16:00 +0000	2016-03-31 11:46:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:16:00 +0000	2016-03-31 11:46:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:17:00 +0000	2016-03-31 11:47:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:17:00 +0000	2016-03-31 11:47:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:18:00 +0000	2016-03-31 11:48:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:18:00 +0000	2016-03-31 11:48:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:19:00 +0000	2016-03-31 11:49:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:19:00 +0000	2016-03-31 11:49:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:20:00 +0000	2016-03-31 11:50:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:20:00 +0000	2016-03-31 11:50:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:21:00 +0000	2016-03-31 11:51:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:21:00 +0000	2016-03-31 11:51:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:22:00 +0000	2016-03-31 11:52:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:22:00 +0000	2016-03-31 11:52:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:23:00 +0000	2016-03-31 11:53:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:23:00 +0000	2016-03-31 11:53:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:24:00 +0000	2016-03-31 11:54:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:24:00 +0000	2016-03-31 11:54:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:25:00 +0000	2016-03-31 11:55:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:25:00 +0000	2016-03-31 11:55:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:26:00 +0000	2016-03-31 11:56:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:26:00 +0000	2016-03-31 11:56:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:27:00 +0000	2016-03-31 11:57:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:27:00 +0000	2016-03-31 11:57:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:28:00 +0000	2016-03-31 11:58:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:28:00 +0000	2016-03-31 11:58:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:29:00 +0000	2016-03-31 11:59:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:29:00 +0000	2016-03-31 11:59:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:30:00 +0000	2016-03-31 12:00:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:30:00 +0000	2016-03-31 12:00:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:31:00 +0000	2016-03-31 12:01:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:31:00 +0000	2016-03-31 12:01:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:32:00 +0000	2016-03-31 12:02:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:32:00 +0000	2016-03-31 12:02:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:33:00 +0000	2016-03-31 12:03:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:33:00 +0000	2016-03-31 12:03:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:34:00 +0000	2016-03-31 12:04:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:34:00 +0000	2016-03-31 12:04:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:35:00 +0000	2016-03-31 12:05:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:35:00 +0000	2016-03-31 12:05:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:36:00 +0000	2016-03-31 12:06:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:36:00 +0000	2016-03-31 12:06:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:37:00 +0000	2016-03-31 12:07:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:37:00 +0000	2016-03-31 12:07:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:38:00 +0000	2016-03-31 12:08:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:38:00 +0000	2016-03-31 12:08:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:39:00 +0000	2016-03-31 12:09:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:39:00 +0000	2016-03-31 12:09:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:40:00 +0000	2016-03-31 12:10:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:40:00 +0000	2016-03-31 12:10:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:41:00 +0000	2016-03-31 12:11:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:41:00 +0000	2016-03-31 12:11:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:42:00 +0000	2016-03-31 12:12:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:42:00 +0000	2016-03-31 12:12:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:43:00 +0000	2016-03-31 12:13:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:43:00 +0000	2016-03-31 12:13:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:44:00 +0000	2016-03-31 12:14:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:44:00 +0000	2016-03-31 12:14:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:45:00 +0000	2016-03-31 12:15:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:45:00 +0000	2016-03-31 12:15:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:46:00 +0000	2016-03-31 12:16:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:46:00 +0000	2016-03-31 12:16:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:47:00 +0000	2016-03-31 12:17:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:47:00 +0000	2016-03-31 12:17:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:48:00 +0000	2016-03-31 12:18:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:48:00 +0000	2016-03-31 12:18:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:49:00 +0000	2016-03-31 12:19:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:49:00 +0000	2016-03-31 12:19:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:50:00 +0000	2016-03-31 12:20:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:50:00 +0000	2016-03-31 12:20:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:51:00 +0000	2016-03-31 12:21:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:51:00 +0000	2016-03-31 12:21:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:52:00 +0000	2016-03-31 12:22:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:52:00 +0000	2016-03-31 12:22:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:53:00 +0000	2016-03-31 12:23:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:53:00 +0000	2016-03-31 12:23:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:54:00 +0000	2016-03-31 12:24:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:54:00 +0000	2016-03-31 12:24:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:55:00 +0000	2016-03-31 12:25:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:55:00 +0000	2016-03-31 12:25:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:56:00 +0000	2016-03-31 12:26:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:56:00 +0000	2016-03-31 12:26:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:57:00 +0000	2016-03-31 12:27:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:57:00 +0000	2016-03-31 12:27:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:58:00 +0000	2016-03-31 12:28:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:58:00 +0000	2016-03-31 12:28:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:59:00 +0000	2016-03-31 12:29:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 06:59:00 +0000	2016-03-31 12:29:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:00:00 +0000	2016-03-31 12:30:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:00:00 +0000	2016-03-31 12:30:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:01:00 +0000	2016-03-31 12:31:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:01:00 +0000	2016-03-31 12:31:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:02:00 +0000	2016-03-31 12:32:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:02:00 +0000	2016-03-31 12:32:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:03:00 +0000	2016-03-31 12:33:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:03:00 +0000	2016-03-31 12:33:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:04:00 +0000	2016-03-31 12:34:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:04:00 +0000	2016-03-31 12:34:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:05:00 +0000	2016-03-31 12:35:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:05:00 +0000	2016-03-31 12:35:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:06:00 +0000	2016-03-31 12:36:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:06:00 +0000	2016-03-31 12:36:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:07:00 +0000	2016-03-31 12:37:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:07:00 +0000	2016-03-31 12:37:00 +0530	  1.00	  1.00	  1.00	  1.00
2016-03-31 07:08:00 +0000	2016-03-31 12:38:00 +0530	  1.00	  1.00	  1.00	  1.00
